pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Exc RORB CHGA,Exc RORB CHGA,Bakken279,pCL383,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses HS3ST4, and RCSD1, and RORB, and TOX mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,2049,0.504934433,4,HS3ST4,RCSD1,RORB,TOX,,glut
Exc RORB HACL1,Exc RORB HACL1,Bakken280,pCL384,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses AMOTL1, and CMTM8, and FAM19A1, and NRG1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,1857,0.682843032,4,AMOTL1,CMTM8,FAM19A1,NRG1,,glut
Exc RORB KNL1,Exc RORB KNL1,Bakken281,pCL385,is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses VAV3 mRNAs,UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,396,0.11440678,1,VAV3,,,,,glut
Exc RORB LOC108588466,Exc RORB LOC108588466,Bakken282,pCL386,"is a Layer 2-3 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses ARHGAP10, and LOC108588466, and PDZD2, and RGS6 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL105,Layer 2-3 Intratelencephalic neuron,6254,0.48223814,4,ARHGAP10,LOC108588466,PDZD2,RGS6,,glut
Exc RORB LOC108593203,Exc RORB LOC108593203,Bakken283,pCL387,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses LOC108593203, and VWC2L mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,2104,0.62913299,2,LOC108593203,VWC2L,,,,glut
Exc RORB NDST3,Exc RORB NDST3,Bakken284,pCL388,"is a Layer 2-3 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses CHST9, and DGKG, and KIAA2012 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL105,Layer 2-3 Intratelencephalic neuron,4037,0.491789614,3,CHST9,DGKG,KIAA2012,,,glut
Exc RORB PPA2,Exc RORB PPA2,Bakken285,pCL389,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses EYA4, and HS3ST4, and LOC108588895 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,1137,0.664050709,3,EYA4,HS3ST4,LOC108588895,,,glut
Exc RORB SERPINE2,Exc RORB SERPINE2,Bakken286,pCL390,"is a Layer 2-3 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses CHST8, and PLA2G4A, and SNTB2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL105,Layer 2-3 Intratelencephalic neuron,1031,0.321620012,3,CHST8,PLA2G4A,SNTB2,,,glut
Exc RORB SLC38A11,Exc RORB SLC38A11,Bakken287,pCL391,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses FOXP2, and SLC38A11, and TOX mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,917,0.586744639,3,FOXP2,SLC38A11,TOX,,,glut
Exc RORB USH1C,Exc RORB USH1C,Bakken288,pCL392,"is a Layer 5 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses SPON1, and TMEM163, and USH1C mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL107,Layer 5 Intratelencephalic neuron,2716,0.587506521,3,SPON1,TMEM163,USH1C,,,glut
Exc THEMIS ANO3,Exc THEMIS ANO3,Bakken289,pCL393,"is a Layer 2-3 Intratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses CHST9, and NPFFR2, and SLC38A11, and SLIT3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL105,Layer 2-3 Intratelencephalic neuron,2782,0.529059161,4,CHST9,NPFFR2,SLC38A11,SLIT3,,glut
Exc THEMIS ARL13B,Exc THEMIS ARL13B,Bakken290,pCL394,"is a Layer 5 Extratelencephalic marmoset primary motor cortex Glutamatergic neuron that selectively expresses EPB41L4A, and SV2C, and THEMIS mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL106,Layer 5 Extratelencephalic neuron,425,0.57050592,3,EPB41L4A,SV2C,THEMIS,,,glut
