pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
Inh SST P4HA1,Inh SST P4HA1,Bakken333,pCL437,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses ABI3BP, and COL19A1, and KCTD8 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,375,0.501930502,3,ABI3BP,COL19A1,KCTD8,,,GAD
Inh SST PCSK5,Inh SST PCSK5,Bakken334,pCL438,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses NCKAP5, and RELN, and UNC13C mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,541,0.620155039,3,NCKAP5,RELN,UNC13C,,,GAD
Inh SST TMEFF2,Inh SST TMEFF2,Bakken335,pCL439,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses ANKRD55, and LOC100384959, and MAN1A1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,134,0.26984127,3,ANKRD55,LOC100384959,MAN1A1,,,GAD
Inh SST VAPA,Inh SST VAPA,Bakken336,pCL440,"is a SST marmoset primary motor cortex GABAergic interneuron that selectively expresses EYS, and LOC103793609 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL117,SST expressing GABAergic neuron,153,0.523690773,2,EYS,LOC103793609,,,,GAD
Inh VIP CIT,Inh VIP CIT,Bakken337,pCL441,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses ARHGAP18, and EGFR, and FREM1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,304,0.639705882,3,ARHGAP18,EGFR,FREM1,,,GAD
Inh VIP CYP19A1,Inh VIP CYP19A1,Bakken338,pCL442,"is a SNCG marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC103795617, and SKAP1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL115,SNCG expressing GABAergic neuron,49,0.537190083,2,LOC103795617,SKAP1,,,,GAD
Inh VIP FIGN,Inh VIP FIGN,Bakken339,pCL443,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses CALB2, and PCSK6, and UNC13C mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,551,0.608856089,3,CALB2,PCSK6,UNC13C,,,GAD
Inh VIP GPR149,Inh VIP GPR149,Bakken340,pCL444,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses CREB5, and CRH mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,218,0.580246914,2,CREB5,CRH,,,,GAD
Inh VIP LOC100397259,Inh VIP LOC100397259,Bakken341,pCL445,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses CRH, and MYO16 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,256,0.547752809,2,CRH,MYO16,,,,GAD
Inh VIP LOC108588071,Inh VIP LOC108588071,Bakken342,pCL446,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC103791740, and THSD4 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,364,0.544019934,2,LOC103791740,THSD4,,,,GAD
Inh VIP LOC108588539,Inh VIP LOC108588539,Bakken343,pCL447,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC103787232, and LOC108588539 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,102,0.602189781,2,LOC103787232,LOC108588539,,,,GAD
Inh VIP LOC108589153,Inh VIP LOC108589153,Bakken344,pCL448,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses ANO1, and KCNK13, and THSD7A mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,173,0.520607375,3,ANO1,KCNK13,THSD7A,,,GAD
Inh VIP THSD7B,Inh VIP THSD7B,Bakken345,pCL449,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC103788553, and THSD7B mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,91,0.564263323,2,LOC103788553,THSD7B,,,,GAD
Inh VIP VAT1L,Inh VIP VAT1L,Bakken346,pCL450,"is a VIP marmoset primary motor cortex GABAergic interneuron that selectively expresses LOC103795407, and TRPC4, and VIP mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL118,VIP expressing GABAergic neuron,201,0.369261477,3,LOC103795407,TRPC4,VIP,,,GAD
Micro TYROBP LOC103788313,Micro TYROBP LOC103788313,Bakken347,pCL451,"is a marmoset primary motor cortex Microglial cell that selectively expresses FYB, and LOC103788313 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0000129,Microglial cell,1065,0.923999095,2,FYB,LOC103788313,,,,immune
OPC PDGFRA VCAN,OPC PDGFRA VCAN,Bakken348,pCL452,"is a marmoset primary motor cortex Oligodendrocyte precursor cell that selectively expresses PDGFRA, and VCAN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0002453,Oligodendrocyte precursor cell,2256,0.934487292,2,PDGFRA,VCAN,,,,oligo
Oligo OPALIN LOC103790018,Oligo OPALIN LOC103790018,Bakken349,pCL453,"is a marmoset primary motor cortex Oligodendrocyte that selectively expresses LOC103789268, and MOG mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0000128,Oligodendrocyte,5857,0.798040162,2,LOC103789268,MOG,,,,oligo
Oligo OPALIN MOBP,Oligo OPALIN MOBP,Bakken350,pCL454,"is a marmoset primary motor cortex Oligodendrocyte that selectively expresses ANLN, and MOBP, and SEPP1, and SLC5A11 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0000128,Oligodendrocyte,2162,0.603849736,4,ANLN,MOBP,SEPP1,SLC5A11,,oligo
Oligo SLC1A3 LOC103793418,Oligo SLC1A3 LOC103793418,Bakken351,pCL455,"is a marmoset primary motor cortex Oligodendrocyte that selectively expresses CEMIP, and LAMA2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0000128,Oligodendrocyte,161,0.180586907,2,CEMIP,LAMA2,,,,oligo
Peri SLC1A3 CHST3,Peri SLC1A3 CHST3,Bakken352,pCL456,"is a marmoset primary motor cortex brain pericyte that selectively expresses CPM, and LOC100405319, and NOTCH3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL366,brain pericyte ,163,0.503875969,3,CPM,LOC100405319,NOTCH3,,,endo
Peri SLC1A3 EPSTI1,Peri SLC1A3 EPSTI1,Bakken353,pCL457,"is a marmoset primary motor cortex brain pericyte that selectively expresses COL4A3, and PLXDC1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL366,brain pericyte ,212,0.533405172,2,COL4A3,PLXDC1,,,,endo
VLMC PDGFRA C7,VLMC PDGFRA C7,Bakken354,pCL458,"is a marmoset primary motor cortex Vascular leptomeningeal cells that selectively expresses C7, and DCN mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL367,Vascular leptomeningeal cells,143,0.848484848,2,C7,DCN,,,,endo
VLMC SLC1A3 CEMIP,VLMC SLC1A3 CEMIP,Bakken355,pCL459,"is a marmoset primary motor cortex Vascular leptomeningeal cells that selectively expresses LOC103789461, and SLC9A2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL367,Vascular leptomeningeal cells,56,0.643939394,2,LOC103789461,SLC9A2,,,,endo
VLMC SLC1A3 SLC13A3,VLMC SLC1A3 SLC13A3,Bakken356,pCL460,"is a marmoset primary motor cortex Vascular leptomeningeal cells that selectively expresses CARD11, and SLC13A3 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL367,Vascular leptomeningeal cells,40,0.803571429,2,CARD11,SLC13A3,,,,endo
VLMC SLC1A3 SLC47A1,VLMC SLC1A3 SLC47A1,Bakken357,pCL461,is a marmoset primary motor cortex Vascular leptomeningeal cells that selectively expresses SLC47A1 mRNAs,UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL367,Vascular leptomeningeal cells,224,0.889261745,1,SLC47A1,,,,,endo
