,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A6Va,-2.47147161477473,-3.99075701957808,-3.75201001297967,-2.23615923057948,-3.22891340599465,-4.05041842724536,-3.10506358096976,-inf,-2.03610696029134,-inf,-inf,-2.13577866921035,-1.10085123748694,-1.24677248682164,-4.20435516181154,-1.54683022349158,-2.50092960228722,-0.532957367770775,-2.43281574139368,-1.92227535022484,-1.65236617447587,0.0,-0.837375962743778,-3.17782328462884,-1.23232508740586,-2.60738903016339,-inf,-1.99314546251296,-inf,-3.32592595577111,-inf,-4.59805694728003,-inf,-inf,-2.51355052034589,-3.07747971438114,-3.67847285312443,-inf,-3.2204393510341,-1.17814135482714,-inf,-2.756958227659,-4.50877204827063,-2.68057404501925,-1.87009852301634,-4.36285930295885,-4.38778122690591,-3.22846227037181,-inf,-4.188982178717,-2.41257935991511,-2.77022159904945,-3.0179318356658,-inf,-4.35322357609793
A8C,-2.79780747570194,-4.71762058122685,-inf,-2.41721390916671,-inf,-3.14732844025293,-2.48893693073612,-4.42427712227297,-3.00441691761374,-inf,-inf,-3.87416279272176,-3.18446643274626,-2.5920513345612,-3.69946565056281,-2.2985457855603,-2.78413855861105,-0.870747196288185,-2.16945881585883,-1.52152640610665,-2.00329490979764,-1.1404634602686,0.0,-2.4577737085584,-1.38232695511636,-3.4768370319577,-inf,-2.49231367665289,-inf,-4.22901594276343,-inf,-inf,-inf,-2.6294095991019,-2.63848925695514,-3.8903930710227,-3.68430664607244,-3.24452451156974,-2.16100216318265,-2.5418786541491,-3.24895361549582,-2.75689290947625,-2.78449617867108,-3.95932764597083,-1.93972672182644,-4.36285930295885,-inf,-3.9999131324157,-inf,-inf,-2.32542691699708,-3.20330519158661,-3.52981519664502,-3.10901712681897,-3.13661264526839
A8aD,-4.49677748003932,-1.77278283269038,-1.6499194874677,-inf,-1.88649072517292,-1.40703165673702,-1.54684937574618,-3.94715586755292,-2.3266902267563,-2.89060729136628,-4.52018210770718,-inf,-inf,-3.1291705189553,-0.745078926741274,-1.29497150814066,-4.71121652432088,-inf,-3.12997145798617,-1.17990503956909,-1.856862982338,-3.10280616334922,-1.55218136266259,0.0,-1.4191473909747,-0.999536093943968,-1.03757602923905,-1.78856136180038,-inf,-2.82014935436457,-inf,-2.13772457762503,-4.63401350648098,-3.09868217426826,-inf,-3.41327181630416,-3.33147204540637,-inf,-4.39653061009015,-4.11590992187682,-2.89697378408163,-2.47326452385823,-1.63054286521364,-3.18117639558851,-3.44440515645499,-2.57644277832179,-inf,-2.58379165246213,-inf,-inf,-3.86840930331341,-inf,-3.83084519230753,-inf,-inf
A8aV,-4.49677748003932,-1.64507449522468,-2.73082071390996,-2.64916298568739,-2.75179215127524,-2.21557034057317,-1.79618412273248,-inf,-3.32183732946562,-inf,-4.52018210770718,-inf,-4.60771230668224,-1.02975847010387,-1.4449558458586,-0.573287348020624,-inf,-2.14135753712941,-3.92396896487628,-1.45813929678087,-1.94210110754512,-1.26391887999539,-1.23652704042725,-0.736563046625816,0.0,-2.29466047998721,-3.27604032641239,-1.33617168737211,-inf,-1.70842216900678,-inf,-2.1036632925621,-inf,-2.75189468804278,-1.75388267565663,-2.05470249953163,-3.21952869573265,-3.54555450723449,-2.11777700913737,-2.02424296428123,-2.73293166418582,-2.40831778522255,-2.31195020176294,-2.05623765898037,-2.38334017347355,-3.11592661389682,-inf,-1.99514288757886,-3.11008442288707,-3.23338636261071,-2.05850834129668,-2.01225330014821,-1.48793810965573,-2.10895086422877,-2.03140012841576
A8b,-inf,-2.13389696162136,-1.61927017471773,-inf,-inf,-2.33413194240722,-1.95989802448814,-inf,-2.85599708515732,-0.618378785489726,-3.52018210770718,-4.0913855420782,-3.14531430878419,-2.18304589973865,-1.31322994382998,-2.00274017971228,-2.71933386515245,-3.07077646284322,-2.27419137266132,-1.00521979633092,-0.835008753817971,-2.54111101879581,-1.52308199810528,-1.16705451975639,-2.30648646789282,0.0,-0.525403385021956,-2.55605373985538,-inf,-2.90056232466246,-inf,-3.16669318312156,-inf,-inf,-inf,-4.19142306668803,-3.91588005343975,-inf,-inf,-4.11590992187682,-4.4021237624003,-3.15503676974767,-2.72198347320475,-3.05623765898037,-inf,-2.13117172452918,-inf,-3.26298984530316,-inf,-inf,-inf,-4.27261892466194,-3.83084519230753,-inf,-inf
A9,-inf,-0.949511246315958,-1.24618197912423,-inf,-inf,-2.38245994916071,-3.03597517648296,-inf,-inf,-0.594673852721899,-1.6902354117655,-inf,-inf,-3.5393449840451,-0.965418282412104,-2.10258922536767,-inf,-inf,-inf,-3.06269113544118,-4.06235631808537,-inf,-3.76474385720566,-1.71509618468099,-3.70343267197354,-0.895917574290869,0.0,-4.45264496768024,-inf,-4.70613719748309,-inf,-2.51043399412057,-4.36954041318487,-inf,-inf,-inf,-3.97950284878841,-inf,-inf,-inf,-inf,-5.03716743774247,-4.63742968464912,-3.26035764163639,-inf,-2.04861004826473,-inf,-2.61097499768159,-inf,-inf,-inf,-inf,-inf,-inf,-inf
AIP,-3.41759623399147,-4.64843807937719,-3.45098001731446,-2.402490652346,-inf,-2.81996950586674,-2.34141315721875,-inf,-3.6576294313882,-inf,-inf,-3.52198027461112,-inf,-2.72168519237818,-inf,-3.16443338069036,-3.04208104444865,-inf,-inf,-1.96366018131493,-inf,-2.41493003675477,-1.95175602516984,-3.54678935163096,-2.1553774066375,-3.92639949531209,-inf,0.0,-inf,-3.13793547341597,-inf,-inf,-inf,-2.14686293588001,-2.63848925695514,-2.8903930710227,-2.1781755984163,-inf,-1.95878004726891,-1.21883291866746,-1.38300747195327,-1.64688154490203,-3.2783231268926,-inf,-3.38225724970558,-2.17098217613227,-inf,-4.30094312808055,-3.50002915622323,-4.13384498561137,-2.12259968815192,-2.16971795081201,-4.13187518797268,-3.2129425446667,-2.74377744616399
AuA1,-4.01965622531921,-3.27164781365512,-inf,-inf,-inf,-3.828569677629,-2.82289603981294,-4.42427712227297,-inf,-inf,-inf,-inf,-inf,-inf,-2.70408184825191,-inf,-inf,-inf,-inf,-3.60332242026086,-inf,-3.61642454750968,-inf,-2.80642666213574,-4.01205896391602,-inf,-inf,-inf,0.0,-0.854586429820595,-1.06788531527443,-0.886950885758581,-1.05001397409457,-2.93043959476588,-inf,-inf,-2.66774898773235,-inf,-inf,-inf,-3.44788125296183,-3.03350891498466,-inf,-3.26035764163639,-2.83893029763246,-inf,-inf,-1.07153074149849,-3.54440473390539,-inf,-inf,-inf,-3.2287852009803,-inf,-inf
AuCM,-2.71862622965432,-2.67132069792443,-inf,-inf,-inf,-3.22650968630104,-2.14497091601777,-3.14552352131935,-inf,-inf,-inf,-3.30882263294525,-2.58551125530539,-4.08341302839463,-2.75959917610075,-5.05545478494139,-4.10861764702968,-3.07077646284322,-inf,-3.02626204243712,-inf,-2.79708694356436,-3.08635983067451,-2.45552154795889,-4.01479002705522,-inf,-4.0541915767962,-3.18977473089411,-1.33760186332225,0.0,-2.4749928301869,-1.22159198558064,-1.53151932589178,-inf,-3.11561051167442,-inf,-2.0930121236148,-3.24452451156974,-inf,-3.46269740810148,-2.84306907798536,-2.01932398486692,-4.33639968898608,-3.26035764163639,-3.25731851309754,-3.61022389736544,-4.38778122690591,-1.14169745754165,-3.33687721609509,-inf,-inf,-inf,-3.62064628071032,-4.06595298031368,-inf
AuCPB,-inf,-1.87531300553832,-3.27488875825919,-inf,-inf,-4.05041842724536,-3.33374798741075,-inf,-inf,-inf,-3.4410008616598,-inf,-inf,-3.60629177367497,-1.87725559640116,-3.70898673012539,-inf,-inf,-inf,-3.13073408196738,-inf,-4.49748253736712,-inf,-2.04163937331134,-3.35783207665815,-2.62563300266082,-inf,-3.97552371296181,-0.975874027302806,-1.0240091066727,0.0,-0.87831656501317,-0.930083846712289,-2.32837960343885,-inf,-4.19142306668803,-3.35426685747231,-inf,-inf,-inf,-inf,-3.37583624200037,-inf,-1.74184370175717,-4.25731851309754,-2.04844574458627,-4.38778122690591,-1.10063015084191,-4.11340850681823,-inf,-inf,-inf,-4.33769880596393,-inf,-inf
AuML,-inf,-2.8932045278888,-inf,-inf,-inf,-inf,-3.91390696006412,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2.42992399898893,-inf,-inf,-inf,-inf,-3.54340546595758,-inf,-4.49748253736712,-inf,-2.77860498153792,-inf,-3.29636138158765,-inf,-inf,-0.373140188700541,-1.61864042814356,-0.647623557133032,0.0,-1.11782978905128,-2.93043959476588,-inf,-inf,-4.28053284445156,-inf,-inf,-inf,-inf,-3.63800057758013,-inf,-3.48220639125249,-inf,-3.77539197169602,-inf,-1.47779001880144,-3.67975294587924,-inf,-inf,-inf,-inf,-3.43471279317338,-inf
AuRT,-inf,-3.8008016454111,-4.05304000864267,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.50145866595993,-3.8610391574682,-1.01761563366342,-3.22077188753934,0.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.95932764597083,-4.02926199580428,-inf,-inf,-2.45225445646769,-inf,-inf,-inf,-inf,-inf,-inf,-inf
LIP,-3.89471748871,-3.6454329084618,-2.47325641202658,-1.81891406671348,-1.95015980504194,-1.41827709717814,-1.66005806898285,-inf,-4.43578068177264,-inf,-inf,-inf,-inf,-3.15399410268065,-3.68147641653051,-2.24444577545671,-3.45038699900183,-inf,-3.96604782107755,-1.30191073472871,-inf,-3.17526324263326,-1.49220177186577,-2.47747962486244,-1.97566640877164,-3.84761164536738,-4.0541915767962,-1.10112877005093,-inf,-3.08288790708508,-inf,-4.12093569256094,-inf,0.0,-inf,-2.67290912681032,-0.672505504272453,-3.54555450723449,-1.78800457651224,-2.61075994355763,-1.64094794924547,-0.966355698275566,-1.08937944347955,-inf,-inf,-1.85582248348174,-inf,-2.90300311940852,-2.21913357513312,-2.17152753879191,-0.944576488212117,-2.24651375523505,-2.47672456747308,-2.13248529405156,-2.44691859809956
MIP,-inf,-inf,-inf,-1.47477819044547,-3.22891340599465,-2.25485256547995,-2.19729039925982,-inf,-inf,-inf,-inf,-inf,-inf,-2.62856816838658,-inf,-3.34962528777182,-4.23337690347371,-3.3718064585072,-inf,-1.82960205470127,-inf,-3.31697713710477,-2.07160339653074,-3.30931071578774,-1.52762958129678,-4.71133472955795,-inf,-1.48880075903598,-inf,-4.40510720181911,-inf,-4.32100778614844,-inf,-1.2235756034348,0.0,-inf,-1.79534916948008,-inf,-0.882647424478917,-4.11590992187682,-3.02191252068924,-1.86630319066022,-1.41798962706608,-inf,-inf,-4.36285930295885,-inf,-inf,-2.70007953425691,-3.15123875210095,-1.19216585291335,-2.16521734391311,-1.88724445144123,-2.18391103363447,-1.20390711372781
MST,-2.81553624266408,-2.55794780173249,-3.75201001297967,-2.60085830611284,-2.75179215127524,-2.41099712655886,-2.14898194778133,-3.94715586755292,-3.6576294313882,-inf,-inf,-3.99910152933223,-inf,-2.18578593710452,-2.58275554189945,-2.47902887227335,-3.26047797027452,-3.07077646284322,-inf,-2.47613133806843,-inf,-2.27763299009774,-2.59150343875182,-2.73281070794474,-1.87306933608828,-3.94774009921354,-4.0541915767962,-2.19707406867012,-1.21891207599074,-1.29151294688597,-2.42063516786439,-1.47610076086398,-2.24208679034267,-1.86385765322786,-2.16136800223484,0.0,-1.02817268844812,-inf,-2.4774525177139,-2.67657722804656,-1.42451149590347,-1.09179058545431,-2.84528466850549,-1.29187469308181,-2.74351560159809,-2.22526670212019,-3.91065997218625,-1.12710416485438,-1.9453081483837,-2.42772435511166,-2.0795952682642,-2.21373143966915,-0.930914917586052,-0.505549216540977,-2.37704955005985
OPt,-inf,-3.89392812654116,-2.76300539728101,-1.95019298135331,-1.72376342767438,-1.69338699415141,-2.07765647081617,-inf,-inf,-inf,-inf,-inf,-inf,-2.8529641070179,-3.09041180950486,-2.37730140067303,-4.71121652432088,-inf,-inf,-1.8409530856368,-inf,-3.04710167993393,-1.84735487074643,-3.84781934729647,-1.98155822713515,-4.03646919891552,-2.878100317742,-1.33225281029981,-inf,-2.8428143373633,-inf,-4.30885186845496,-inf,-0.764081610604526,-2.81458051600987,-0.734753437265148,0.0,-3.54555450723449,-2.31734936404234,-2.10518605648505,-1.12994949761606,-0.769690289545764,-1.77800606874026,-inf,-4.25731851309754,-2.43573260802341,-inf,-2.85378509673871,-2.10387831079459,-2.14047339600238,-1.72576552921908,-1.29784671499171,-3.40288289288203,-2.20128327244228,-2.00377805642089
PE,-0.781442796245499,-inf,-4.35407000430665,-3.2775519157377,-inf,-1.78090548302614,-1.30051693833152,-1.21529860499624,-1.52614175423091,-inf,-inf,-1.0026094382263,-1.88610425361107,-1.94353394199225,-4.68147641653051,-3.07565236256568,-0.729994140373374,-1.48531573333536,-0.696240169548964,-1.45962421101831,-1.50808181621496,-1.441662257472,-1.2270618099059,-2.56303721491035,-1.84390435649607,-5.14925607231495,-inf,-1.10604242331818,-inf,-2.82532360520125,-inf,-inf,-inf,-2.61333256576429,-1.02570540023499,-2.35891415398143,-2.27186358428827,0.0,-0.629077891992634,-0.686965631840868,-0.848085534252453,-1.764959524715,-inf,-3.95932764597083,-1.12281681905432,-2.831380385915,-4.38778122690591,-4.18665994199087,-4.11665449137395,-4.58906484335703,-2.51778097435188,-2.51569603287607,-2.67375512956188,-2.31187542734452,-1.46352245128144
PEC,-2.79780747570194,-inf,-inf,-2.70352064800998,-inf,-1.68382093546261,-1.39106862916502,-inf,-4.43578068177264,-inf,-inf,-3.55061674792255,-inf,-4.08341302839463,-inf,-3.54007199988194,-2.18323547860193,-2.52670841849265,-2.08198834690582,-2.04950863792473,-2.99793766670337,-2.55785651946422,-1.65850204240043,-2.90283850993969,-2.4262620494816,-4.38998072988164,-inf,-2.96625575489109,-inf,-inf,-inf,-4.30885186845496,-inf,-inf,-0.620066174127886,-2.82969523066982,-3.12101033929333,-2.50416182207515,0.0,-3.71796991320479,-1.98069977169688,-2.65565529894195,-3.80980204393601,-3.95932764597083,-3.22207572322171,-inf,-inf,-4.30094312808055,-3.62125939836142,-3.40830420111921,-2.22397306349789,-2.86722805875464,-2.80271545041485,-2.30684193747282,-1.48359654122391
PF,-1.21370250530343,-inf,-inf,-inf,-inf,-3.62444969497198,-2.84978426545645,-inf,-2.27808909124404,-inf,-inf,-1.63334799412747,-1.89623850954676,-3.10568942310606,-inf,-2.55645662955008,-2.19264304890374,-1.53295736777077,-2.39980604421668,-2.53799108430388,-3.07665156632766,-1.00394063966101,-1.49498396689973,-2.63333195127726,-2.5415792439467,-inf,-inf,-1.6494439483002,-inf,-2.67271344199638,-inf,-4.62203778181333,-4.63401350648098,-inf,-2.21252052468262,-2.62322134262105,-2.71233112038416,-3.24452451156974,-3.9194093553694,0.0,-1.2042836862822,-2.17320495805104,-inf,-3.48220639125249,-1.16126585230115,-2.59943130939594,-inf,-4.04419992660938,-4.2640877445548,-inf,-inf,-3.27261892466194,-3.65475393325283,-3.57392164472135,-inf
PFG,-1.38450771162137,-4.34740808371224,-3.31267731914807,-3.87961190706566,-inf,-2.26272185895542,-1.5239989913541,-1.97095878222631,-2.42821319467496,-inf,-inf,-1.80435513383076,-2.71420918601492,-3.004231782347,-inf,-1.98104209345247,-1.95413743458152,-2.76974646717822,-2.05646954026518,-2.00714623846227,-2.58005803223957,-1.57103446965671,-1.48083097317117,-1.8977238836173,-2.30968662098147,-3.31894657340043,-3.20909353678201,-0.811696472159255,-inf,-1.47712734533641,-inf,-2.2051524456386,-3.80739971275815,-1.85125834871764,-2.21252052468262,-1.41617680694769,-1.46337720498221,-1.72601057169105,-2.20340601173557,-0.663893355915112,0.0,-1.06367005349666,-3.80980204393601,-1.67829427872464,-1.04311839883423,-2.09885030066438,-4.38778122690591,-2.38661898760162,-3.0098514617968,-4.006269228643,-2.60312853750251,-3.29489531937292,-2.19503007144728,-1.77696391312503,-2.26005318288628
PG,-2.58829246116049,-3.60704539421808,-2.77428640769056,-2.28854730003916,-2.62685341466632,-1.92227331353944,-1.62397534736202,-inf,-2.75453944439725,-inf,-inf,-3.21079876793512,-inf,-3.78238303273065,-3.30867034742078,-2.07106521344169,-2.94104718154373,-inf,-3.96604782107755,-1.77849141698961,-3.60681329431241,-2.766596671215,-1.61060702402828,-2.18680927866578,-2.23939125862771,-3.81388750113112,-2.75316158113124,-1.03176611585103,-inf,-2.10844201155782,-inf,-2.68435274438312,-inf,-0.946642786072686,-inf,-0.504429500423442,-1.09806840090671,-inf,-2.45204793794037,-2.5418786541491,-0.870199517973811,0.0,-1.62540012228883,-2.57911640426021,-2.58952954257092,-1.66379802457984,-4.08675123124193,-2.81187614566138,-2.68907342682111,-3.00327716353371,-1.96164267528709,-2.33672890720124,-2.99048550451929,-1.98215906098922,-3.03021165959594
PGM,-inf,-4.17131682465688,-3.75201001297967,-inf,-0.74461356664735,-1.23618747239496,-0.916261094787153,-inf,-inf,-inf,-inf,-inf,-inf,-4.08341302839463,-2.4073185672674,-2.84912777119233,-4.23337690347371,-inf,-3.23218973606019,-1.46280091229246,-inf,-2.74463328154838,-1.95201601440978,-1.89678984314554,-2.13737857428088,-2.79211284837857,-3.75316158113124,-1.99048434730826,-inf,-2.98186132788405,-inf,-3.34278444217787,-inf,-1.40361725556476,-inf,-2.51932520875275,-2.3167126839996,-inf,-1.74914763997532,-inf,-2.61679392738959,-2.03587805254269,0.0,-inf,-inf,-3.53953891354824,-inf,-2.62884527014461,-4.11665449137395,-3.32035774772662,-2.29498463205061,-inf,-3.86057755124333,-2.54018294581502,-inf
PGa-IPa,-4.01965622531921,-1.8829724697384,-2.0196162531557,-inf,-3.22891340599465,-3.48614699680653,-3.37316481178866,-inf,-4.43578068177264,-inf,-3.67508406769334,-inf,-4.90874230234798,-1.68029250721975,-2.63085468694467,-2.26250752128235,-inf,-inf,-inf,-2.5207943116194,-inf,-2.67170882750233,-2.49277282301715,-2.68117290957091,-2.03239159743031,-2.69237462498403,-3.27604032641239,-1.85424069763586,-2.48372989900011,-1.81632534958953,-inf,-2.47083237760518,-3.3733712181656,-3.45086469238003,-inf,-3.41327181630416,-2.21983500409788,-inf,-inf,-3.71796991320479,-4.4021237624003,-2.13019648405824,-4.20774205260664,0.0,-2.24277021511657,-0.852313175044024,-3.34638854174769,-1.52702123701507,-3.16001897361031,-4.04684111984286,-3.56737930765103,-2.83542010274231,-1.23855575370994,-2.91055887417271,-inf
S2E,-1.15852024979266,-4.01865057689129,-4.05304000864267,-inf,-inf,-3.828569677629,-2.36307320235637,-2.88020907792286,-2.47199285442749,-inf,-inf,-1.43210669713744,-2.10458441976179,-inf,-inf,-3.17385226177618,-1.89910920042625,-2.59365520812424,-2.11567840831012,-2.33118610578999,-2.37160226237012,-1.25098825994361,-1.75300845366125,-2.17157947782603,-3.65965301725247,-3.85450418293929,-inf,-2.97094914258033,-3.18269990333613,-2.3779393198916,-inf,-3.03773600780182,-4.71048969975176,-inf,-inf,-3.71430181196814,-2.90032160273871,-2.20313182641187,-3.9194093553694,-1.59216345506607,-1.68297378542933,-2.50661230919158,-inf,-2.8453842936646,0.0,-3.51776126294502,-4.38778122690591,-2.84331179106,-3.96305774888922,-4.51150903830894,-inf,-inf,-4.13187518797268,-3.37728602280837,-inf
