,id,Age,Sex
319,329,1.36,0
320,330,2.84,0
321,331,1.05,0
322,332,1.91,1
323,333,1.04,0
324,334,2.75,1
325,335,1.21,1
326,336,1.69,0
327,337,1.69,0
328,338,1.36,0
329,339,1.2,1
330,340,1.84,0
331,341,1.84,0
332,342,1.28,0
333,343,2.41,1
334,344,2.06,0
335,345,1.47,1
336,346,3.32,0
337,347,3.3,0
338,348,1.12,1
339,349,2.99,0
340,350,1.06,1
341,351,1.86,0
342,352,1.92,1
343,353,1.04,1
344,354,2.32,0
345,355,1.98,1
346,356,1.13,1
347,357,1.1,1
348,358,1.05,1
349,359,1.59,1
350,360,1.73,0
351,361,1.5,1
352,362,1.69,1
353,363,2.52,1
354,364,2.15,1
355,365,1.09,0
356,366,1.09,1
357,367,1.23,0
358,368,1.82,1
359,369,2.07,1
360,370,2.41,1
361,371,2.13,0
362,372,2.13,0
363,373,1.45,1
364,374,1.24,0
365,375,1.24,1
366,376,2.11,1
367,377,1.21,1
368,378,1.38,1
369,379,1.47,1
370,380,1.47,1
371,381,1.92,1
372,382,2.08,0
373,383,2.01,0
374,384,1.66,0
375,385,1.33,1
376,386,1.31,0
377,387,1.03,0
378,388,1.58,1
379,389,2.09,1
380,390,1.9,1
381,391,1.38,0
382,392,1.33,0
383,393,1.89,1
384,394,1.77,1
385,395,1.77,1
386,396,1.05,1
387,397,1.01,1
388,398,1.57,1
389,399,1.57,1
390,400,0.99,1
391,401,1.83,1
392,402,1.79,1
393,403,1.68,0
394,404,1.67,0
395,405,1.81,1
396,406,2.24,1
397,407,2.1,1
398,408,1.66,0
399,409,1.59,0
400,410,1.6,0
401,411,1.41,1
402,412,1.36,1
403,413,9.76,0
404,414,9.26,0
405,415,9.44,0
406,416,1.33,1
407,417,1.32,1
408,418,9.54,0
409,419,8.6,0
410,420,8.63,1
411,421,8.54,1
412,422,1.09,0
413,423,1.03,1
414,424,1.06,1
415,425,1.27,1
416,426,0.98,0
417,427,1.93,0
418,428,1.89,0
419,429,1.9,1
420,430,1.85,1
421,431,1.61,1
422,432,1.64,1
423,433,1.76,1
424,434,1.55,1
425,435,0.63,0
426,436,0.63,0
427,437,0.7,0
428,438,0.7,0
429,439,4.35,0
430,440,3.11,0
431,441,3.79,1
432,442,4.0,1
433,443,0.62,1
