,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.981735465675099,0.9911737501885683,0.9924160781890772,0.9799397431957199,0.9798112070284155,0.9751263183776042,0.9836287006726679,0.9848105692526263,0.9784127425806033,0.9444590362849076,0.967776967844818
VLP,0.9817354656750991,1.0,0.9871820366554294,0.9876443956790617,0.9719170047633647,0.9824964416933083,0.9877832535526859,0.9788820012689469,0.9867532286391042,0.9839774661942237,0.9428029774829989,0.9730281719137801
MPC,0.9911737501885683,0.9871820366554295,0.9999999999999998,0.996768880789216,0.9810996508336496,0.9859608524362089,0.9794592534427196,0.9920625893383628,0.9843755323072284,0.980771369992789,0.9437570614646134,0.96629646819698
OFC,0.9924160781890772,0.9876443956790618,0.996768880789216,1.0,0.9859054388842304,0.9898250317743739,0.9825894858890876,0.99189302921989,0.9871308643504063,0.9842309083081429,0.9512885345045333,0.9723052457073124
M1,0.9799397431957199,0.9719170047633647,0.9810996508336496,0.9859054388842304,0.9999999999999999,0.9901321822841511,0.9744164185376617,0.9803980692689664,0.9868128938974641,0.9785348880653719,0.9623813869113801,0.9780026682834551
S1,0.9798112070284155,0.9824964416933083,0.9859608524362089,0.9898250317743738,0.990132182284151,1.0,0.9822384933359928,0.9856379866001037,0.98558070262832,0.9835406086446428,0.9589880712230188,0.9789712201298884
A1,0.9751263183776042,0.9877832535526859,0.9794592534427194,0.9825894858890876,0.9744164185376617,0.9822384933359928,1.0,0.9765788266381975,0.9864647653300824,0.986017357376807,0.9622756541115931,0.9829648212312422
LTC,0.9836287006726678,0.9788820012689469,0.9920625893383629,0.9918930292198899,0.9803980692689663,0.9856379866001037,0.9765788266381975,1.0,0.9789257243736668,0.9750513303677586,0.9447837980227138,0.962282370878269
LPC,0.9848105692526266,0.9867532286391042,0.9843755323072285,0.9871308643504063,0.9868128938974641,0.9855807026283199,0.9864647653300824,0.9789257243736669,0.9999999999999999,0.9857662842158834,0.9575050047573777,0.9821050429887513
PCA,0.9784127425806031,0.9839774661942235,0.980771369992789,0.984230908308143,0.9785348880653719,0.9835406086446428,0.9860173573768068,0.9750513303677585,0.9857662842158835,1.0,0.9560909773774197,0.9760288301146922
V1,0.9444590362849076,0.942802977482999,0.9437570614646134,0.9512885345045333,0.9623813869113801,0.9589880712230189,0.9622756541115931,0.9447837980227138,0.9575050047573778,0.9560909773774195,1.0,0.9768408653481305
V2,0.967776967844818,0.97302817191378,0.9662964681969799,0.9723052457073124,0.9780026682834551,0.9789712201298882,0.9829648212312423,0.9622823708782691,0.9821050429887515,0.9760288301146922,0.9768408653481305,1.0
