,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9834083370790276,0.9882301506854332,0.9908516672065046,0.982396455314998,0.9839609961556969,0.9870970852186001,0.9843627277953692,0.989322235994903,0.987512959376087,0.9676055473633265,0.9778246384051985
VLP,0.9834083370790278,1.0,0.9881240012143109,0.994609700003816,0.9783821212749237,0.9920207451013424,0.9937966638031244,0.9834002374246927,0.9922036267298961,0.9846521236920669,0.9660351487394744,0.9784712776594244
MPC,0.9882301506854333,0.9881240012143108,1.0,0.9960824676412569,0.9750165622403273,0.98738771247005,0.9877172134323797,0.9881974278732586,0.9856329500126388,0.9818217738199598,0.9572659968465391,0.9666075854392491
OFC,0.9908516672065047,0.9946097000038161,0.9960824676412567,1.0,0.9810547633147975,0.9916755120533709,0.9933034921017796,0.989639971311885,0.9915517520479746,0.9876908343908029,0.9649676030726444,0.9754824991452015
M1,0.9823964553149981,0.9783821212749237,0.9750165622403273,0.9810547633147975,1.0,0.98708854981633,0.9845098571066505,0.9815761122181644,0.9885569824809205,0.984445841538798,0.9823945293595953,0.9891129335882957
S1,0.9839609961556968,0.9920207451013424,0.9873877124700501,0.9916755120533709,0.9870885498163301,1.0,0.9927897977265764,0.9868284524841012,0.9919252197015728,0.9851829217925684,0.969685956769711,0.9811656719442772
A1,0.9870970852186,0.9937966638031244,0.9877172134323797,0.9933034921017795,0.9845098571066505,0.9927897977265763,0.9999999999999999,0.9855005206184031,0.9949374389543019,0.9900228180651764,0.9786938846829489,0.9862574764671238
LTC,0.984362727795369,0.9834002374246927,0.9881974278732585,0.9896399713118849,0.9815761122181643,0.9868284524841012,0.9855005206184032,1.0,0.9841338485225866,0.9791811972774671,0.9598668966002363,0.9694223876561183
LPC,0.9893222359949031,0.9922036267298961,0.9856329500126388,0.9915517520479745,0.9885569824809204,0.9919252197015728,0.9949374389543019,0.9841338485225866,1.0,0.9882426311742658,0.9797122977236074,0.990496577651371
PCA,0.987512959376087,0.9846521236920669,0.9818217738199598,0.9876908343908029,0.9844458415387981,0.9851829217925685,0.9900228180651766,0.9791811972774671,0.9882426311742658,1.0,0.9740586524284044,0.9801488992159695
V1,0.9676055473633265,0.9660351487394744,0.9572659968465391,0.9649676030726444,0.9823945293595953,0.969685956769711,0.9786938846829489,0.9598668966002362,0.9797122977236074,0.9740586524284044,1.0,0.992009869915439
V2,0.9778246384051984,0.9784712776594244,0.9666075854392491,0.9754824991452015,0.9891129335882956,0.9811656719442772,0.9862574764671238,0.9694223876561183,0.990496577651371,0.9801488992159695,0.992009869915439,0.9999999999999999
