,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9816645501561149,0.9893761916605026,0.9896277720429785,0.9709347147135429,0.9729464765501545,0.9734689446937738,0.9839111951923318,0.9854531420272057,0.9811103860226471,0.9170575582097255,0.9636874056638827
VLP,0.9816645501561149,0.9999999999999999,0.9928302618590937,0.9944578890007629,0.9775020041762745,0.986412875052268,0.9842298749408323,0.9864847978763928,0.9900786184399192,0.9822628557291927,0.9210424250330699,0.9715172008370488
MPC,0.9893761916605026,0.9928302618590938,1.0,0.9983082431625258,0.9716643649869112,0.9788602502931449,0.9776630666877044,0.9930333855590003,0.98687181380518,0.9814690390473377,0.9113304191352669,0.9601642292921181
OFC,0.9896277720429786,0.994457889000763,0.9983082431625258,0.9999999999999999,0.976715751561791,0.9824764321690419,0.9807052513670357,0.9929100636735103,0.9880545147800426,0.983465629505525,0.9183261426287476,0.9656069401322479
M1,0.9709347147135429,0.9775020041762745,0.9716643649869112,0.9767157515617909,0.9999999999999999,0.9912264251462886,0.9865477625267141,0.9741593929919032,0.9844775727110316,0.9787885617206765,0.9618120022852167,0.9883392542433707
S1,0.9729464765501545,0.986412875052268,0.9788602502931448,0.9824764321690419,0.9912264251462884,1.0,0.9886807307641662,0.9821579298729982,0.9868033698990702,0.9850764020403653,0.9417591349735038,0.982862140070207
A1,0.9734689446937739,0.9842298749408323,0.9776630666877043,0.9807052513670357,0.9865477625267142,0.9886807307641662,1.0,0.9757929943476162,0.9843986223786296,0.9846403112632728,0.9626246846026772,0.9883036701959744
LTC,0.9839111951923319,0.986484797876393,0.9930333855590003,0.9929100636735103,0.9741593929919032,0.9821579298729981,0.9757929943476162,1.0,0.9846804130125719,0.9786878008583662,0.9122215611294981,0.9603875639026456
LPC,0.9854531420272057,0.9900786184399191,0.98687181380518,0.9880545147800427,0.9844775727110318,0.9868033698990701,0.9843986223786296,0.9846804130125719,0.9999999999999999,0.9851057627557734,0.9331647240742222,0.9809775883713892
PCA,0.981110386022647,0.9822628557291927,0.9814690390473378,0.983465629505525,0.9787885617206764,0.9850764020403653,0.9846403112632728,0.9786878008583663,0.9851057627557736,1.0,0.9325659653826878,0.973335391502883
V1,0.9170575582097253,0.9210424250330699,0.9113304191352669,0.9183261426287476,0.9618120022852168,0.9417591349735038,0.9626246846026774,0.9122215611294981,0.9331647240742222,0.9325659653826878,1.0,0.975872363911139
V2,0.9636874056638826,0.9715172008370487,0.960164229292118,0.9656069401322478,0.9883392542433705,0.9828621400702069,0.9883036701959745,0.9603875639026456,0.9809775883713892,0.973335391502883,0.975872363911139,1.0
