,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9843013485798568,0.9912760301608183,0.9902586999929834,0.9717893875183389,0.9726216631036246,0.9785337080135174,0.979616363941604,0.9824293551503785,0.9763256350677095,0.9469114971372987,0.9647941123511006
VLP,0.9843013485798567,1.0,0.9896751277780588,0.9922439551922962,0.9807348577316933,0.9876287038543755,0.9898777703772776,0.9822496701279609,0.9880448235594973,0.981816763658737,0.9589484091427334,0.975958153670411
MPC,0.9912760301608183,0.9896751277780588,0.9999999999999999,0.9967454390632972,0.9728635253555902,0.9775096063195413,0.9829986566012268,0.989900806431705,0.9826447188443076,0.9776961983128581,0.9473438306862212,0.9632799407264541
OFC,0.9902586999929835,0.9922439551922961,0.9967454390632972,0.9999999999999999,0.9769713491192517,0.9807015268758839,0.9841378872460406,0.9882223837130016,0.9841207880059448,0.9812397733405467,0.9540318713793189,0.9681932089179475
M1,0.9717893875183389,0.9807348577316932,0.9728635253555902,0.9769713491192518,0.9999999999999999,0.9914298143755694,0.9869984709980345,0.9725986181261492,0.9883694236503242,0.978101172299881,0.9796641754980026,0.9885366490941178
S1,0.9726216631036245,0.9876287038543755,0.9775096063195412,0.9807015268758837,0.9914298143755695,1.0,0.9881219403422609,0.9796584136582878,0.9896702225148344,0.9825823167271428,0.9710963568440544,0.9850917833833196
A1,0.9785337080135175,0.9898777703772776,0.9829986566012268,0.9841378872460406,0.9869984709980344,0.9881219403422608,1.0,0.9792292829727111,0.9885185355389132,0.9840671641019751,0.969897988592797,0.98189307495166
LTC,0.979616363941604,0.9822496701279608,0.9899008064317051,0.9882223837130016,0.9725986181261492,0.9796584136582877,0.9792292829727111,1.0,0.9816053316573192,0.9735113499155873,0.9468473944737945,0.9604647396068015
LPC,0.9824293551503784,0.9880448235594973,0.9826447188443076,0.9841207880059448,0.9883694236503242,0.9896702225148344,0.9885185355389132,0.9816053316573192,1.0,0.984014565462366,0.9718158949226552,0.987104693432328
PCA,0.9763256350677096,0.9818167636587369,0.977696198312858,0.9812397733405466,0.978101172299881,0.9825823167271428,0.9840671641019751,0.9735113499155873,0.984014565462366,1.0,0.969894419404232,0.9790838087735414
V1,0.9469114971372987,0.9589484091427334,0.9473438306862213,0.9540318713793189,0.9796641754980024,0.9710963568440544,0.9698979885927971,0.9468473944737946,0.9718158949226552,0.969894419404232,1.0,0.9885469042216306
V2,0.9647941123511006,0.9759581536704112,0.9632799407264541,0.9681932089179475,0.9885366490941178,0.9850917833833195,0.98189307495166,0.9604647396068015,0.9871046934323279,0.9790838087735414,0.9885469042216306,1.0
