,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9545717995761072,0.96476002228832,0.9694067749349042,0.9598477172927598,0.9650257407087199,0.9640412835589557,0.9665241990917921,0.9419406460385115,0.9656155153864578,0.9371383793421381,0.9413721773374394
VLP,0.9545717995761072,0.9999999999999998,0.9464813702108875,0.9542433481928337,0.9159336981316164,0.9401376733755761,0.9506112902387276,0.9319929429221196,0.9367791664605312,0.9378966042769291,0.9022962756205429,0.9113477990512389
MPC,0.9647600222883199,0.9464813702108874,1.0,0.9668541805380292,0.9472056837168624,0.9551137243976888,0.9546911018850143,0.9656107021291536,0.9186936393400358,0.9535447053114786,0.9163162412917838,0.9290944820231076
OFC,0.9694067749349043,0.9542433481928337,0.9668541805380293,0.9999999999999998,0.9457977714890475,0.9587660278953309,0.9647311417752313,0.9594048302848364,0.9410413620299549,0.9608464691220657,0.9200486543890577,0.9339421011301038
M1,0.9598477172927598,0.9159336981316164,0.9472056837168622,0.9457977714890476,1.0,0.9648856792974937,0.9344520146848501,0.969063192463819,0.8968444730781121,0.9600103201035484,0.9556204674984862,0.9400058270432342
S1,0.96502574070872,0.9401376733755762,0.9551137243976888,0.958766027895331,0.9648856792974937,1.0,0.9492023768407475,0.9663371241231109,0.920384172432375,0.9588077716806066,0.9385228993424911,0.9365839510820555
A1,0.9640412835589556,0.9506112902387276,0.9546911018850143,0.9647311417752313,0.93445201468485,0.9492023768407474,1.0,0.9430286401189636,0.9419977977928433,0.9531516913104838,0.9138073032873052,0.9368349528779922
LTC,0.9665241990917921,0.9319929429221196,0.9656107021291536,0.9594048302848364,0.9690631924638191,0.9663371241231109,0.9430286401189636,1.0,0.90747153225181,0.9567778737303214,0.9450649171731098,0.9288931149798807
LPC,0.9419406460385115,0.936779166460531,0.9186936393400357,0.9410413620299549,0.896844473078112,0.920384172432375,0.9419977977928433,0.9074715322518101,1.0,0.9163454941016866,0.8858085899091354,0.8918966832607824
PCA,0.965615515386458,0.937896604276929,0.9535447053114786,0.9608464691220657,0.9600103201035485,0.9588077716806067,0.9531516913104837,0.9567778737303214,0.9163454941016868,0.9999999999999998,0.9388362285001667,0.9402115378310759
V1,0.9371383793421381,0.9022962756205429,0.916316241291784,0.9200486543890577,0.9556204674984862,0.9385228993424911,0.9138073032873053,0.9450649171731097,0.8858085899091352,0.9388362285001667,1.0,0.926035595469597
V2,0.9413721773374394,0.9113477990512389,0.9290944820231075,0.9339421011301038,0.9400058270432342,0.9365839510820555,0.9368349528779922,0.9288931149798807,0.8918966832607823,0.9402115378310758,0.926035595469597,1.0
