,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9806418343045328,0.9907054524695057,0.9915746895772001,0.9745752257913338,0.9751934812402814,0.9803348028375047,0.9831014006915794,0.982989644715433,0.9820423667478821,0.9575835141319049,0.9660393086625731
VLP,0.9806418343045329,1.0,0.9886324018410656,0.9915444978078557,0.967461173340351,0.986535125161025,0.9903098965259249,0.9822135321194118,0.9861488506795847,0.9821871198063832,0.9564268985982681,0.9697177076117378
MPC,0.9907054524695058,0.9886324018410657,1.0,0.9978199850741151,0.9736196704553505,0.9796198152864676,0.9855094585937293,0.9934589393717262,0.9829635147921747,0.9835246774733979,0.9530910985769739,0.9632102782737075
OFC,0.9915746895772001,0.9915444978078557,0.9978199850741152,0.9999999999999999,0.978082321620525,0.9840363146143315,0.9887262269404051,0.9918456108512372,0.9861241139301419,0.9869577620872912,0.959828319353684,0.968903470892469
M1,0.9745752257913338,0.9674611733403511,0.9736196704553505,0.9780823216205251,1.0,0.986974404176862,0.9805249109993474,0.9794567624000777,0.9873263922568353,0.9789328179772417,0.9839247153224729,0.9875012904644548
S1,0.9751934812402814,0.986535125161025,0.9796198152864675,0.9840363146143315,0.986974404176862,0.9999999999999999,0.9917256526681618,0.9824855571806597,0.9921283561036585,0.9849395806374394,0.9750905155967191,0.9866851067193322
A1,0.9803348028375048,0.990309896525925,0.9855094585937293,0.988726226940405,0.9805249109993474,0.9917256526681619,1.0,0.985278218727683,0.9943402184391256,0.989507280527959,0.9768337661129043,0.9862561975399782
LTC,0.9831014006915794,0.9822135321194118,0.9934589393717262,0.9918456108512372,0.9794567624000777,0.9824855571806597,0.985278218727683,1.0,0.982940418806423,0.9792682311376516,0.9577596977272393,0.9672474524731234
LPC,0.982989644715433,0.9861488506795847,0.9829635147921747,0.9861241139301419,0.9873263922568353,0.9921283561036585,0.9943402184391256,0.9829404188064229,1.0,0.9871522588645637,0.9810181635885362,0.9920012197798332
PCA,0.9820423667478821,0.9821871198063832,0.9835246774733979,0.9869577620872912,0.9789328179772417,0.9849395806374395,0.9895072805279589,0.9792682311376516,0.9871522588645637,0.9999999999999999,0.9727073345385493,0.9781788069332685
V1,0.957583514131905,0.9564268985982681,0.9530910985769738,0.959828319353684,0.9839247153224728,0.975090515596719,0.9768337661129042,0.9577596977272393,0.9810181635885362,0.9727073345385493,1.0,0.991873661741535
V2,0.966039308662573,0.9697177076117378,0.9632102782737076,0.9689034708924689,0.9875012904644548,0.9866851067193323,0.9862561975399783,0.9672474524731233,0.9920012197798334,0.9781788069332684,0.991873661741535,1.0
