,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9360541944697498,0.98297065496967,0.9847314196316341,0.9639778705103055,0.952084369092689,0.956443958838849,0.9738551398950901,0.9501215687398147,0.9066808682811959,0.9520935452010696,0.9735896647743337
VLP,0.9360541944697498,0.9999999999999999,0.968236934167403,0.9495910534567995,0.9074320175743932,0.9544855010464571,0.9676914692968589,0.8980947802943392,0.9703865361810594,0.9378444189652753,0.9298865002582916,0.9418407022407163
MPC,0.98297065496967,0.9682369341674029,0.9999999999999999,0.9909333830092965,0.9461244253651009,0.9613463152099829,0.970335712375533,0.9569826855377604,0.9654091222555294,0.9392840542353932,0.9550414297049151,0.965834447255015
OFC,0.9847314196316341,0.9495910534567995,0.9909333830092965,1.0,0.9514085643461612,0.951705621868369,0.9589942137835458,0.9657291927198708,0.9495149155834105,0.9227399016830321,0.9438905962191183,0.9638144508483532
M1,0.9639778705103054,0.9074320175743932,0.9461244253651009,0.9514085643461613,0.9999999999999999,0.9664691244807793,0.9405312136511714,0.9523837693132652,0.9440293737361608,0.8982118493277785,0.9665469690891729,0.9793705382292686
S1,0.9520843690926889,0.9544855010464571,0.9613463152099829,0.951705621868369,0.9664691244807794,1.0,0.958838042568609,0.9310875268035556,0.9664309258959799,0.9315646234609634,0.9636870353029167,0.9689542636362111
A1,0.9564439588388491,0.967691469296859,0.970335712375533,0.9589942137835458,0.9405312136511714,0.9588380425686092,1.0,0.9410989843092202,0.971390984212749,0.94301511888721,0.9550459881413746,0.963381279789797
LTC,0.97385513989509,0.8980947802943392,0.9569826855377603,0.9657291927198707,0.9523837693132652,0.9310875268035557,0.9410989843092202,1.0,0.925801562719152,0.8768327469300454,0.9334692498448275,0.9623488275454964
LPC,0.9501215687398147,0.9703865361810594,0.9654091222555293,0.9495149155834104,0.9440293737361608,0.9664309258959799,0.9713909842127492,0.925801562719152,1.0,0.9359528003852984,0.9568714293595914,0.9766099241775892
PCA,0.9066808682811958,0.9378444189652753,0.9392840542353932,0.9227399016830321,0.8982118493277786,0.9315646234609634,0.94301511888721,0.8768327469300454,0.9359528003852984,0.9999999999999999,0.9307314392610518,0.9135984342985378
V1,0.9520935452010695,0.9298865002582917,0.955041429704915,0.9438905962191184,0.966546969089173,0.9636870353029167,0.9550459881413748,0.9334692498448276,0.9568714293595914,0.9307314392610518,0.9999999999999999,0.9716564082720656
V2,0.9735896647743337,0.9418407022407161,0.9658344472550149,0.9638144508483533,0.9793705382292686,0.9689542636362111,0.9633812797897969,0.9623488275454964,0.9766099241775892,0.9135984342985379,0.9716564082720656,1.0
