,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.49155549920241176,0.9623452955519476,0.9443814534930497,0.8185227922260322,,,,,0.6574146291572567,0.2990385121998716,0.3132888745393623
VLP,0.49155549920241176,1.0,0.4512977684038991,0.4547496258711032,0.5138530030744551,,,,,0.2601621639996883,0.15413118222179975,0.2238080456697903
MPC,0.9623452955519476,0.4512977684038991,1.0,0.9725348537103979,0.7780670974497035,,,,,0.6327040539364083,0.2603084441276507,0.2882641184263133
OFC,0.9443814534930496,0.45474962587110324,0.9725348537103979,1.0,0.7838402806688323,,,,,0.6269527708901328,0.25652200250635115,0.3018092807385796
M1,0.8185227922260322,0.5138530030744551,0.7780670974497035,0.7838402806688323,1.0,,,,,0.5790861593848015,0.2597683436131992,0.261300481350157
S1,,,,,,,,,,,,
A1,,,,,,,,,,,,
LTC,,,,,,,,,,,,
LPC,,,,,,,,,,,,
PCA,0.6574146291572567,0.2601621639996883,0.6327040539364083,0.6269527708901329,0.5790861593848015,,,,,1.0,0.2555484281099172,0.24906909358050633
V1,0.29903851219987154,0.15413118222179975,0.26030844412765075,0.2565220025063512,0.2597683436131992,,,,,0.2555484281099172,1.0,0.19437024542766335
V2,0.3132888745393623,0.22380804566979026,0.2882641184263133,0.3018092807385796,0.261300481350157,,,,,0.24906909358050636,0.19437024542766335,1.0
