,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,0.9999999999999998,0.9110545803819934,0.9757634075426905,0.9728124301475066,0.9439862173667578,0.9581318411856342,0.9570762913273738,0.9478970454546806,0.9466979203350064,,0.9510135294381113,0.9404885109465965
VLP,0.9110545803819934,1.0,0.9249521526538748,0.9194088692006729,0.8884685748416704,0.9113814244859646,0.9090093394800951,0.8997616824510408,0.8922959052864096,,0.8807325579551167,0.8744094889731906
MPC,0.9757634075426905,0.9249521526538748,0.9999999999999998,0.9792830703003835,0.9450759403489929,0.9642143634289825,0.957768779415288,0.9572904189180039,0.9437667100294216,,0.9486731286523286,0.9438117518352129
OFC,0.9728124301475066,0.919408869200673,0.9792830703003835,1.0,0.9413375512567881,0.9612749439905846,0.9566754284942058,0.9490656834655179,0.9456380668620775,,0.9444558410075992,0.9328542532964654
M1,0.9439862173667578,0.8884685748416704,0.9450759403489929,0.9413375512567881,0.9999999999999998,0.943301364235825,0.9227688090091174,0.9259734665727545,0.925894417271078,,0.9298486461667675,0.9293100424157046
S1,0.9581318411856342,0.9113814244859646,0.9642143634289825,0.9612749439905847,0.9433013642358251,0.9999999999999999,0.9530151295598525,0.9507693367807285,0.949772084153265,,0.9556101972152957,0.9430176117443603
A1,0.9570762913273737,0.9090093394800951,0.9577687794152882,0.9566754284942058,0.9227688090091174,0.9530151295598525,1.0,0.9353283214916538,0.9425038211922773,,0.9429062577446535,0.9226670982942989
LTC,0.9478970454546806,0.8997616824510409,0.9572904189180039,0.9490656834655179,0.9259734665727545,0.9507693367807284,0.9353283214916539,1.0,0.9269736824161753,,0.9436489337829264,0.9298345290746777
LPC,0.9466979203350064,0.8922959052864096,0.9437667100294216,0.9456380668620775,0.925894417271078,0.949772084153265,0.9425038211922773,0.9269736824161752,1.0,,0.9407409446796081,0.9263737983269221
PCA,,,,,,,,,,,,
V1,0.9510135294381112,0.8807325579551167,0.9486731286523286,0.9444558410075993,0.9298486461667677,0.9556101972152957,0.9429062577446534,0.9436489337829262,0.9407409446796082,,1.0,0.940164435771616
V2,0.9404885109465964,0.8744094889731907,0.9438117518352129,0.9328542532964654,0.9293100424157046,0.9430176117443603,0.9226670982942989,0.9298345290746777,0.9263737983269222,,0.9401644357716161,1.0
