,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9806068050887748,0.9911293679996738,0.9922828811164105,0.9817799908585572,0.9809848148970806,0.9767767333751217,0.9812501140318687,0.9794362590767677,0.9802546550427124,0.9247565739273723,0.9700184750525063
VLP,0.9806068050887748,0.9999999999999999,0.9901896518326841,0.9926309827458327,0.9739163811068073,0.9886971970488618,0.9874006428883644,0.9791045737360197,0.9870549555145433,0.9855992212662397,0.9254484137825839,0.9723447215997211
MPC,0.9911293679996737,0.9901896518326841,1.0,0.9982009075640158,0.9783420927273959,0.9854484373108015,0.9832112338939687,0.990541327995503,0.9840452944680982,0.9830824513834752,0.9201536874049947,0.966348496803067
OFC,0.9922828811164105,0.9926309827458327,0.9982009075640158,1.0,0.9820665192464687,0.988489912633596,0.9863715169057278,0.9887173343758153,0.9857854412684746,0.9860501604959772,0.9270003230463054,0.9717192869332814
M1,0.981779990858557,0.9739163811068073,0.9783420927273959,0.9820665192464688,1.0,0.9864648014507132,0.9801397737454245,0.9792297906656633,0.9823492644042207,0.9765384744393585,0.9505852939103857,0.9826000894391593
S1,0.9809848148970804,0.9886971970488617,0.9854484373108016,0.9884899126335961,0.9864648014507131,1.0,0.9892577888098194,0.9840709155331941,0.990302273988178,0.9838171799435012,0.9334665369582672,0.9826471843971492
A1,0.9767767333751218,0.9874006428883644,0.9832112338939687,0.9863715169057279,0.9801397737454245,0.9892577888098194,1.0,0.9801956048539183,0.9917764241755523,0.9862242203716588,0.9479539095746102,0.9862747811806237
LTC,0.9812501140318687,0.9791045737360198,0.990541327995503,0.9887173343758153,0.9792297906656633,0.9840709155331943,0.9801956048539184,1.0,0.9784314197571155,0.9744241875949071,0.9207007215979885,0.9629219206332925
LPC,0.9794362590767677,0.9870549555145433,0.9840452944680981,0.9857854412684746,0.9823492644042205,0.990302273988178,0.9917764241755521,0.9784314197571155,1.0,0.984076884292454,0.9338081962852396,0.9841307621081268
PCA,0.9802546550427124,0.9855992212662397,0.9830824513834752,0.9860501604959772,0.9765384744393584,0.9838171799435012,0.9862242203716588,0.9744241875949071,0.9840768842924539,1.0,0.9362414737964927,0.9754227611616919
V1,0.9247565739273723,0.9254484137825839,0.9201536874049947,0.9270003230463055,0.9505852939103857,0.9334665369582673,0.9479539095746103,0.9207007215979885,0.9338081962852397,0.9362414737964927,1.0,0.9714540654448134
V2,0.9700184750525063,0.9723447215997211,0.966348496803067,0.9717192869332815,0.9826000894391593,0.9826471843971493,0.9862747811806237,0.9629219206332926,0.9841307621081268,0.975422761161692,0.9714540654448134,1.0
