,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.9787957763572479,0.9906019580573199,0.9900695895312802,0.9807060797274161,0.979212514829447,0.9815851569271067,0.9842714792845946,0.9854614925064411,0.980451477829313,0.9615834274163337,0.9719145925987566
VLP,0.9787957763572479,1.0,0.988397151139743,0.9899805218672294,0.9689029588980518,0.9852246806827728,0.9880738182967451,0.9784413470490255,0.9877360056541654,0.975333232379924,0.9534893188105514,0.9761880260053036
MPC,0.9906019580573199,0.9883971511397431,1.0,0.9965098979738757,0.9769284413943036,0.984574622877692,0.9869000389959747,0.9930239856453678,0.9856443569492236,0.9784780464038757,0.9545276016696891,0.9704220445576283
OFC,0.9900695895312801,0.9899805218672295,0.9965098979738757,1.0,0.9820016323400763,0.9877687310295563,0.9902273035913406,0.9913517280899334,0.9882414617861979,0.9823057978934113,0.9609292887461268,0.9742863507670518
M1,0.9807060797274162,0.9689029588980518,0.9769284413943035,0.9820016323400763,1.0,0.9859972658051928,0.9782596936741993,0.9749879910617818,0.984935344544614,0.9773092134426149,0.9761091228531045,0.9805828602175894
S1,0.9792125148294472,0.9852246806827728,0.984574622877692,0.9877687310295563,0.9859972658051928,1.0,0.9886298242876301,0.9812588544793642,0.9873365486546062,0.9797565728269172,0.964742622918201,0.9796866374765041
A1,0.9815851569271067,0.988073818296745,0.9869000389959746,0.9902273035913406,0.9782596936741993,0.9886298242876301,1.0,0.9802750406795145,0.9882953534375013,0.9844261752115943,0.966252149155195,0.9782870836409362
LTC,0.9842714792845946,0.9784413470490255,0.9930239856453678,0.9913517280899335,0.9749879910617819,0.9812588544793641,0.9802750406795144,1.0,0.976769934652392,0.969759603248103,0.9445448212489304,0.958706772831924
LPC,0.9854614925064411,0.9877360056541653,0.9856443569492235,0.9882414617861978,0.9849353445446138,0.9873365486546061,0.9882953534375013,0.9767699346523923,0.9999999999999999,0.9822847736171022,0.9757212480062677,0.9892974697564207
PCA,0.980451477829313,0.9753332323799241,0.9784780464038757,0.9823057978934114,0.9773092134426149,0.9797565728269172,0.9844261752115941,0.969759603248103,0.9822847736171022,1.0,0.9691336915196518,0.9738212808815473
V1,0.9615834274163338,0.9534893188105514,0.954527601669689,0.9609292887461269,0.9761091228531045,0.9647426229182009,0.966252149155195,0.9445448212489302,0.9757212480062677,0.9691336915196519,1.0,0.9847523425975648
V2,0.9719145925987566,0.9761880260053037,0.9704220445576281,0.9742863507670518,0.9805828602175894,0.979686637476504,0.9782870836409361,0.958706772831924,0.9892974697564207,0.9738212808815473,0.9847523425975648,1.0
