,predictor,fold,mae,partial_r
159,hist edge,10,0.2829319220585197,0.6523370273840048
160,hist edge,11,0.27109924868085106,0.7169891038291518
161,hist edge,12,0.29959473081633015,0.6936688672571415
162,hist edge,13,0.2789831876173127,0.76034688565658
163,hist edge,14,0.2990281271560989,0.6248497351414055
164,hist edge,15,0.2995637236514398,0.7567219315629785
165,hist edge,16,0.28056037019721647,0.6160938004175299
166,hist edge,17,0.3688484712943141,0.6939754886830521
167,hist edge,18,0.24591625925832358,0.7685737592282266
168,hist edge,19,0.27485494534588933,0.7308782031739792
169,hist edge,20,0.26861630483970045,0.6519793968839749
170,hist edge,21,0.3290302833240177,0.8222875966673717
171,hist edge,22,0.26755467262960525,0.7090895513472675
172,hist edge,23,0.31306162885293176,0.6854846719847664
173,hist edge,24,0.2835575792715319,0.6497421818644198
174,hist edge,25,0.2542148967452115,0.6409807378097981
175,hist edge,26,0.2731206041313928,0.7195247084516438
176,hist edge,27,0.23138856765947344,0.61300499544588
177,hist edge,28,0.24856949374301057,0.8369501496625201
178,hist edge,29,0.29240775683542436,0.6905068293580273
179,hist edge,30,0.34964233798132655,0.6549694587821748
180,hist edge,31,0.32093562970998457,0.6372935846931408
181,hist edge,32,0.2922555644208598,0.6947937788831885
182,hist edge,33,0.26198121087995296,0.7361552758485232
183,hist edge,34,0.2685514945931216,0.7848577864026515
184,hist edge,35,0.27755626084966223,0.6996952187585607
185,hist edge,36,0.3314672709335711,0.5910321957974737
186,hist edge,37,0.2580116656090099,0.7822968602666456
187,hist edge,38,0.2670620214380042,0.698416417675174
188,hist edge,39,0.2924351299839338,0.7324700150671707
189,hist edge,40,0.267976294766448,0.6619745245561336
190,hist edge,41,0.2709306700585489,0.6967655347223004
191,hist edge,42,0.31642037034236964,0.8040746056882412
192,hist edge,43,0.2683842091002207,0.6806627027073819
193,hist edge,44,0.26958421759883827,0.6776630273319865
194,hist edge,45,0.30766862831870345,0.49275768173318807
195,hist edge,46,0.30284523057987667,0.7394372222856896
196,hist edge,47,0.265762155301219,0.7872663510007307
197,hist edge,48,0.2787107198975174,0.7664086659676519
198,hist edge,49,0.27555116664510143,0.679433956966699
199,hist edge,50,0.31153033829044,0.5505194584525127
