,predictor,model,model__C,model__gamma,model__kernel,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,KNN degree,SVR(),0.1,scale,rbf,0.4438864255554389,0.4324446859743346,0.4512880825468632,0.40830584840489725,0.4371766851508336,0.4334901636345171,0.4317911350775483,0.4207196445420231,0.4389463634363267,0.43684769594108835,0.4343457656451877,0.443594939251593,0.4199166963381371,0.438002234127727,0.4301794922751486,0.4414275029503088,0.3974754436472769,0.44003814524560597,0.44934692101826884,0.4424051853673087,0.4286999730308752,0.4444778200013154,0.43647979492995503,0.4357978971679069,0.43932008288855445,0.43721308089451016,0.4582853241711488,0.4481075471063581,0.42364873504163264,0.4127591940419631,0.4364763732026242,0.41834049077236835,0.4330137575950948,0.447108802045185,0.4430944631551409,0.42746945212582405,0.4414552378573223,0.4497648886547941,0.42762879921638036,0.4310886573021562,0.4388887462488246,0.41794117564693123,0.4300727497352493,0.4343958901027534,0.44631587113537147,0.409195425144899,0.43925864836341394,0.43168922005509314,0.45526245915216884,0.43631317520692203
1,KNN degree,SVR(),1.0,scale,rbf,0.36632445855665446,0.3506766807121567,0.362516089417083,0.32848548576892433,0.34849820608506643,0.349327716487992,0.3474416472061654,0.3357340796513998,0.3472027567054516,0.3443237227997426,0.3595066390417051,0.3595149840209232,0.3369917892466225,0.3493577829263398,0.3493617479328471,0.34793429003088966,0.32332193371522205,0.3627276624560677,0.369791813356238,0.34959805417685846,0.3607965674316003,0.36544037188408246,0.34172894861723996,0.3502911790964355,0.3489246131814933,0.3447837519967247,0.3665974264180287,0.3528458398708264,0.34171406440038354,0.344624715440467,0.35179227150157183,0.34770910978542136,0.34880096743591615,0.3469903609128242,0.3545755350274506,0.3434574603182072,0.3630551583416878,0.36075556341868803,0.3563819968395783,0.3459976378726153,0.357878717963639,0.34387738033360865,0.34111558429973843,0.35154630396326825,0.3509508737047629,0.3373141580839528,0.353509898459623,0.35408082593116436,0.36256479518989715,0.34422532736580586
2,KNN degree,SVR(),10.0,scale,rbf,0.36439617926743517,0.3478916179402187,0.36103725577759765,0.3257813513181574,0.3473395165207642,0.3453014464050936,0.3459233579432259,0.33366546035034944,0.34723557564291996,0.3433873268509095,0.35928014822953525,0.3569854048251691,0.33377945993124675,0.3482805330943962,0.3481928716221667,0.34511889847685845,0.32091987312897696,0.36099117989049406,0.3675508301992655,0.34699515611077747,0.35783872011840595,0.3626549732037915,0.33980222394314524,0.3472788588367069,0.34710776484540573,0.34227837723746485,0.3637750833206269,0.35029727836964114,0.3399931093829895,0.3421587015786755,0.34950861560201174,0.3461458426235148,0.3453863960583768,0.3441082931911066,0.3523563502807896,0.34009389136085544,0.36063202866775407,0.3571011802632006,0.3559627088608184,0.34508910026295886,0.35519614986608383,0.3423860328294128,0.3383621095826361,0.34967952250446116,0.3493418467519288,0.33641766646998095,0.35116509230808013,0.3536055924074788,0.3605803953052878,0.34226171748218653
3,KNN degree,SVR(),100.0,scale,rbf,0.36439617926743517,0.3478916179402187,0.36103725577759765,0.3257813513181574,0.3473395165207642,0.3453014464050936,0.3459233579432259,0.33366546035034944,0.34723557564291996,0.3433873268509095,0.35928014822953525,0.3569854048251691,0.33377945993124675,0.3482805330943962,0.3481928716221667,0.34511889847685845,0.32091987312897696,0.36099117989049406,0.3675508301992655,0.34699515611077747,0.35783872011840595,0.3626549732037915,0.33980222394314524,0.3472788588367069,0.34710776484540573,0.34227837723746485,0.3637750833206269,0.35029727836964114,0.3399931093829895,0.3421587015786755,0.34950861560201174,0.3461458426235148,0.3453863960583768,0.3441082931911066,0.3523563502807896,0.34009389136085544,0.36063202866775407,0.3571011802632006,0.3559627088608184,0.34508910026295886,0.35519614986608383,0.3423860328294128,0.3383621095826361,0.34967952250446116,0.3493418467519288,0.33641766646998095,0.35116509230808013,0.3536055924074788,0.3605803953052878,0.34226171748218653
4,KNN degree,GaussianProcessRegressor(),,,DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),0.4679255635852685,0.48977949987061853,0.42900699798079733,0.4321803617099926,0.39399553313669744,0.44381936031135655,0.4249404921354465,0.43871137347426775,0.4488994072284336,0.3907667536329278,0.4470057702523736,0.46521054009221885,0.4566188103729165,0.40878349157844196,0.41834599976074127,0.4459316917304534,0.42471202935549923,0.4589376861515445,0.4246360478085885,0.42136367811743225,0.4290741448907235,0.46098842567761916,0.5083589909686157,0.395085520784102,0.4134676721596996,0.3750985068718605,0.45316284325251327,0.3808846097884834,0.46061470997262327,0.45271047210380655,0.46269041533046773,0.4615318067531926,0.49205313674253415,0.39558162644074224,0.38717936435308486,0.3909776669086874,0.46336735414125163,0.4523508280712095,0.41859913523717074,0.4097888688705478,0.4463303177512448,0.42286503649117596,0.39180863046934317,0.4357028362604103,0.43210274131498483,0.4540147106742878,0.4290521539288729,0.4438956392139427,0.41833136244094654,0.43385943565417395
5,hist degree,SVR(),0.1,scale,rbf,0.44249723738816577,0.4410915747602114,0.4513472489717212,0.40814583686734035,0.4292522687324543,0.43336241508541684,0.43070665397625885,0.41558193663271775,0.44463224895554126,0.4418914732819218,0.4285245623918244,0.44012967601216707,0.42591840621745625,0.43291491999298826,0.4375244445166736,0.44113404755554775,0.4017070082179801,0.43959106973435286,0.44253101922456023,0.4449154942476282,0.4278982656528593,0.4393458718228782,0.4360993565151169,0.4319021421781377,0.44075978456807235,0.44144315466658074,0.458580448020612,0.446116719196435,0.4199797097544571,0.4126355555707871,0.43484764309479906,0.4203662785974517,0.4356274311333584,0.44662401682193237,0.43680000761427806,0.4287978027658566,0.4385805363071789,0.4500632334949331,0.42883131076096437,0.42863579770899596,0.4364972957822676,0.4160334971034757,0.4342441817135671,0.4364676174442594,0.4456455350668776,0.4075428392103143,0.4436375092542426,0.43675317300594996,0.4529751576521887,0.4330718416615274
6,hist degree,SVR(),1.0,scale,rbf,0.3816172061955415,0.367609273267199,0.3832607559135088,0.33260373266803733,0.3482045934732085,0.3652650830750082,0.3607866981864676,0.34378525006126626,0.3608749755226219,0.365609765588452,0.360353842184602,0.3625853049291682,0.36118363619185023,0.3549750037987597,0.36871187563921093,0.3654917082338855,0.3408241155819039,0.3653553170143124,0.37686249147214096,0.3709667760965647,0.3624505943131755,0.366742604215753,0.36488978392108673,0.3585174699690659,0.36201805362098366,0.3750461922153044,0.37335863400631336,0.372119017470697,0.3540097485050088,0.3446459576557578,0.35924603271653266,0.3670826926209356,0.3561064329698998,0.3658490440618581,0.3577427567368451,0.3609069193174652,0.3688384785381973,0.3673868428377792,0.36228845430135137,0.35717939171428476,0.36529085427915603,0.3558041695002399,0.36093613971430516,0.36376964431203,0.3599880715899615,0.345247083800278,0.37704807988815237,0.367034733923778,0.3693267702296749,0.3597911116476955
7,hist degree,SVR(),10.0,scale,rbf,0.3814535407563663,0.3676095026032487,0.38337475984094976,0.3322418101177395,0.3484080360588204,0.3642174026476647,0.3610873239699485,0.3440200115955451,0.3606925421536519,0.3663302058153439,0.36152993286030677,0.3627462427507268,0.35936480348962874,0.35457225025369693,0.3684779422783138,0.36501903561815285,0.3399042651578751,0.36512495339996054,0.3773755045729775,0.3699215569344103,0.36110841915096714,0.36835164471380294,0.3649473179949728,0.3573159278053115,0.36078716910259767,0.3733724831122701,0.3728181644764124,0.3712913848998143,0.35578539176779456,0.34564719385778664,0.35969315308894834,0.3662084763557172,0.3547200253148156,0.3641777580921108,0.3572911679774191,0.3596103766424051,0.3704691389647348,0.36651048915476586,0.3638320266500015,0.3572142172449095,0.3637742934378485,0.3553451704062249,0.3594581951743102,0.3632799891118941,0.3577466936479471,0.3461191872304866,0.3782971068297945,0.36700763162451616,0.3682457305802801,0.358686065045332
8,hist degree,SVR(),100.0,scale,rbf,0.3814535407563663,0.3676095026032487,0.38337475984094976,0.3322418101177395,0.3484080360588204,0.3642174026476647,0.3610873239699485,0.3440200115955451,0.3606925421536519,0.3663302058153439,0.36152993286030677,0.3627462427507268,0.35936480348962874,0.35457225025369693,0.3684779422783138,0.36501903561815285,0.3399042651578751,0.36512495339996054,0.3773755045729775,0.3699215569344103,0.36110841915096714,0.36835164471380294,0.3649473179949728,0.3573159278053115,0.36078716910259767,0.3733724831122701,0.3728181644764124,0.3712913848998143,0.35578539176779456,0.34564719385778664,0.35969315308894834,0.3662084763557172,0.3547200253148156,0.3641777580921108,0.3572911679774191,0.3596103766424051,0.3704691389647348,0.36651048915476586,0.3638320266500015,0.3572142172449095,0.3637742934378485,0.3553451704062249,0.3594581951743102,0.3632799891118941,0.3577466936479471,0.3461191872304866,0.3782971068297945,0.36700763162451616,0.3682457305802801,0.358686065045332
9,hist degree,GaussianProcessRegressor(),,,DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),0.5378811279955966,0.5235657222485859,0.5347002500326684,0.4970973708878172,0.4670207453667409,0.5622468208990922,0.5343338317391324,0.49105586078663216,0.49328826679497445,0.4891849085193625,0.5530454138682861,0.5356209616937153,0.4975466638267159,0.526905211537853,0.5062096902602731,0.4864771516483854,0.4819231391234422,0.4995051071790753,0.5211655888503773,0.48566827086505393,0.4831627346476404,0.5436681886632166,0.5682681047091058,0.48426222563065136,0.42964762658006916,0.48719334670198255,0.5054892560478449,0.5043525713820347,0.5185017537857857,0.4274288815975309,0.5154912849924399,0.534167245034787,0.4455210216878404,0.45967616976647907,0.5386616154854089,0.5369340698849121,0.5139783800017727,0.5303504491688527,0.5046810773064363,0.5261152537079742,0.49158683476673504,0.5693346614872932,0.510918886725723,0.4933831684824991,0.5149259905972531,0.5134468573439491,0.51939841929546,0.47723914480211044,0.4686634341210264,0.4781791389817137
