,GAD_1,GAD_2,GAD_3,GAD_4,GAD_5,GAD_6,GAD_7,GAD_8,GAD_9,GAD_10,GAD_11,GAD_12
THSD7B,1.3359861373901367,0.4721831679344177,1.1181339025497437,3.462484359741211,6.461709022521973,0.3515562415122986,0.8302097320556641,0.09680728614330292,0.273895800113678,0.4678361117839813,0.3408888280391693,2.5023202896118164
ALCAM,0.6215155124664307,1.8677830696105957,1.6130166053771973,1.5997378826141357,0.17250099778175354,1.1969151496887207,1.5337668657302856,0.8063358664512634,1.9288638830184937,2.1959054470062256,0.9523004293441772,3.640779972076416
PATJ,0.6576105356216431,2.5552632808685303,0.795115053653717,1.373271107673645,0.665684163570404,0.7954829335212708,1.1273189783096313,0.6676994562149048,0.5388733744621277,2.162014961242676,0.962037980556488,0.6501260995864868
GLIS3,1.2961045503616333,0.06535310298204422,0.0543108806014061,0.7062514424324036,0.03959419205784798,0.04087764769792557,0.4228222072124481,0.08986617624759674,0.04570149630308151,0.06855820119380951,0.0579751618206501,0.28590258955955505
TOX3,3.0284998416900635,1.7121362686157227,0.6875807046890259,0.9769687056541443,0.30426380038261414,0.5510943531990051,1.0123140811920166,1.8675848245620728,2.4690260887145996,1.8432791233062744,1.5699338912963867,0.5178863406181335
COL25A1,3.7170088291168213,4.773662567138672,1.7675845623016357,0.5642870664596558,1.4893510341644287,0.5521037578582764,1.9436568021774292,2.0580530166625977,1.6554615497589111,0.1401878297328949,2.2824299335479736,3.9106602668762207
KIT,4.151028633117676,3.150702476501465,1.3358229398727417,1.2725073099136353,0.08688219636678696,0.08707434684038162,0.644365668296814,0.04349767416715622,0.12597687542438507,0.097763791680336,0.05041121318936348,0.05668318271636963
ALK,4.555633068084717,3.511453866958618,0.642845094203949,1.794676423072815,0.28074440360069275,0.7164523005485535,1.9328786134719849,3.439363479614258,4.200725555419922,3.5050904750823975,1.836026906967163,1.640169620513916
RELN,2.9804468154907227,0.21566657721996307,0.4074934720993042,2.9487011432647705,7.194466590881348,0.16028964519500732,1.4692054986953735,0.15488143265247345,0.13346152007579803,0.894659698009491,3.595773458480835,3.7460150718688965
TOX2,2.996490001678467,3.0267131328582764,0.28406497836112976,0.4360140860080719,0.06597453355789185,0.4840411841869354,1.189242959022522,1.7938060760498047,1.2019097805023193,1.6070250272750854,1.9085078239440918,0.6795324683189392
TACR1,2.849792718887329,4.08759880065918,0.42226293683052063,0.25585103034973145,2.202894687652588,0.9186888933181763,0.7701927423477173,0.6736851334571838,0.0773102343082428,4.503785133361816,0.7107186317443848,0.42077746987342834
TRPC6,0.44812217354774475,3.2104756832122803,0.1266791820526123,0.19977989792823792,0.08592838793992996,0.0124486293643713,0.5541471242904663,1.1256991624832153,0.12039381265640259,1.1689929962158203,0.8042610883712769,2.033944845199585
NTNG1,1.5440044403076172,2.5320539474487305,0.332679808139801,0.1625642478466034,0.10578888654708862,0.06103586032986641,0.8376428484916687,0.08425205200910568,0.20970425009727478,0.23164182901382446,0.12195578217506409,0.11527125537395477
FBN2,0.6792891621589661,0.6037588715553284,0.18709886074066162,0.7622876763343811,0.010053266771137714,0.39675071835517883,0.40880581736564636,0.02784902974963188,0.019392307847738266,0.6242862939834595,0.05874241143465042,0.09177282452583313
GPRIN3,0.08658220618963242,0.12526309490203857,0.6416611671447754,1.0576400756835938,0.06348209083080292,0.033700209110975266,0.5592068433761597,0.14820198714733124,0.047175612300634384,0.5213876366615295,0.8141060471534729,0.26911070942878723
SPACA1,0.12995316088199615,0.02456529065966606,0.21027663350105286,0.8890929222106934,0.24121198058128357,0.006832795683294535,0.12392612546682358,0.03883486986160278,0.007338863797485828,0.2385617047548294,0.042672451585531235,0.03742772713303566
ARHGAP6,1.030763030052185,2.6891911029815674,0.518318235874176,0.8860111236572266,0.21133477985858917,0.7374318242073059,0.7842814326286316,0.7281923890113831,2.1712558269500732,0.12292500585317612,0.748717725276947,1.021630048751831
CDH4,1.0151504278182983,0.5896434187889099,0.7891606092453003,2.3288862705230713,4.744297027587891,0.9055468440055847,0.8792887926101685,0.16639937460422516,1.1250554323196411,1.9363750219345093,0.8516106009483337,1.7810324430465698
SORCS3,2.1288161277770996,0.3894369602203369,3.1812379360198975,2.8777403831481934,0.48225224018096924,0.14414401352405548,2.318237781524658,2.0794436931610107,0.26958268880844116,0.3431955873966217,0.5483816862106323,0.6275568008422852
PBX3,2.948157548904419,2.2657837867736816,0.6051756143569946,1.1650612354278564,0.20921312272548676,5.475682258605957,1.2567296028137207,1.010252833366394,0.9274821281433105,0.14962312579154968,0.2445879429578781,0.5895469784736633
KCNK13,0.5255088806152344,0.4425293803215027,0.8646699786186218,0.20264531672000885,0.06789912283420563,0.03876058757305145,0.5608237385749817,1.3437963724136353,0.33227136731147766,0.8384481072425842,0.18033328652381897,0.23094749450683594
SYT10,0.11317238956689835,0.04627173766493797,0.18415585160255432,0.11968977004289627,0.17326782643795013,1.990575909614563,0.34515181183815,0.728062093257904,2.085875988006592,1.7023130655288696,0.07930079102516174,0.08491800725460052
TMEM132C,0.6001619100570679,0.989651083946228,0.19204355776309967,0.16723743081092834,1.8739820718765259,0.06253573298454285,1.0233749151229858,2.933002233505249,3.467895984649658,0.45674559473991394,0.9031773209571838,0.16744768619537354
CHST9,0.06019144132733345,0.7919857501983643,0.07179909944534302,0.2121056616306305,0.1610698699951172,0.9098577499389648,0.7531323432922363,0.6606343984603882,0.06429936736822128,0.1149502545595169,0.06671814620494843,1.193961501121521
LRRC38,0.011545068584382534,0.011691459454596043,0.011995135806500912,0.013059037737548351,0.0,0.0029242539312690496,0.30383849143981934,1.270148515701294,0.3313997983932495,0.013953201472759247,0.03693236783146858,0.04213941469788551
SULF1,0.1399795562028885,0.19084863364696503,1.3678871393203735,0.08153016865253448,0.09284310787916183,0.8991398215293884,0.7426487803459167,1.9336204528808594,1.1997641324996948,0.0372946560382843,0.2085890918970108,3.056952953338623
FAM19A1,2.178642511367798,2.1829800605773926,1.99223792552948,2.192363977432251,1.6599098443984985,1.9812076091766357,2.010352373123169,2.095513105392456,1.8656609058380127,2.343644380569458,1.9782017469406128,2.069173812866211
POSTN,0.027484772726893425,0.05553845688700676,0.06490670889616013,0.052259694784879684,0.04680574685335159,0.0019085106905549765,0.6701552867889404,2.053645133972168,3.5909647941589355,0.06091103330254555,0.26209062337875366,0.10448626428842545
EYS,0.6798375844955444,0.8168124556541443,0.7927922606468201,0.8842705488204956,0.5413232445716858,0.5223360657691956,1.8803664445877075,4.060064792633057,3.315157413482666,1.6060765981674194,2.3023269176483154,0.796312689781189
MYO5B,2.178642511367798,2.1829800605773926,1.99223792552948,2.192363977432251,1.6599098443984985,1.9812076091766357,2.010352373123169,2.095513105392456,1.8656609058380127,2.343644380569458,1.9782017469406128,2.069173812866211
ABCB4,0.31093138456344604,0.2717975080013275,0.8041102886199951,0.4241263270378113,0.05762552469968796,0.1685510277748108,0.2704038918018341,0.509189784526825,0.46988996863365173,0.3295057713985443,0.01917692832648754,0.1345342993736267
RNF144B,0.08437885344028473,0.1634255349636078,0.5803840756416321,0.20928700268268585,0.08925094455480576,0.5111398100852966,0.9297236800193787,2.335557460784912,0.5961607098579407,0.7825811505317688,0.716289222240448,0.617713987827301
SLIT2,2.029331922531128,4.416371822357178,1.8782273530960083,1.1429983377456665,0.2931089997291565,0.1736961305141449,2.478189706802368,3.9618189334869385,3.2818546295166016,0.48770058155059814,0.7775866389274597,5.178225517272949
CALN1,2.178642511367798,2.1829800605773926,1.99223792552948,2.192363977432251,1.6599098443984985,1.9812076091766357,2.010352373123169,2.095513105392456,1.8656609058380127,2.343644380569458,1.9782017469406128,2.069173812866211
