,id,Age,Sex,Weight,wm,vh,etiv,gm
386,119,7.19,0,390,0.716154,0.304997,8.191,1.981111290640192
387,162,7.28,0,417,0.564295,0.226025,7.619,2.009962956022243
388,163,7.33,0,479,0.801669,0.31941,7.353,2.380949258539967
389,161,7.45,0,334,0.848076,0.352443,8.467,1.7521046490145054
390,132,7.53,0,351,1.012965,0.426822,8.679,1.9174755406502952
391,133,7.54,0,445,0.77609,0.321657,7.327,2.2521398800320354
392,160,7.86,0,325,0.697532,0.29895,8.401,1.674330135278126
393,84,7.87,0,312,0.710958,0.322505,7.77,1.6042500775488424
394,16,7.88,1,365,1.083135,0.504683,7.761,1.8857067844967423
395,12,7.89,1,298,0.631547,0.338884,8.752,1.5194480611213528
396,176,7.93,0,276,0.736293,0.317021,8.542,1.4413742783859076
397,118,7.95,1,385,0.929653,0.443305,8.168,2.0088166744313023
398,104,7.96,0,289,0.657735,0.25671,7.688,1.5026616994707336
399,154,7.98,0,282,0.806122,0.368056,9.019,1.5024658874316872
